,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 4,Indianapolis Colts,,Kansas City Chiefs,boxscore,45,44
1,WildCard,Sat,January 4,New Orleans Saints,@,Philadelphia Eagles,boxscore,26,24
2,WildCard,Sun,January 5,San Diego Chargers,@,Cincinnati Bengals,boxscore,27,10
3,WildCard,Sun,January 5,San Francisco 49ers,@,Green Bay Packers,boxscore,23,20
4,Division,Sat,January 11,New England Patriots,,Indianapolis Colts,boxscore,43,22
5,Division,Sat,January 11,Seattle Seahawks,,New Orleans Saints,boxscore,23,15
6,Division,Sun,January 12,Denver Broncos,,San Diego Chargers,boxscore,24,17
7,Division,Sun,January 12,San Francisco 49ers,@,Carolina Panthers,boxscore,23,10
8,ConfChamp,Sun,January 19,Denver Broncos,,New England Patriots,boxscore,26,16
9,ConfChamp,Sun,January 19,Seattle Seahawks,,San Francisco 49ers,boxscore,23,17
10,SuperBowl,Sun,February 2,Seattle Seahawks,N,Denver Broncos,boxscore,43,8
