,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0, NFC East,,,,,,,,,,,,
1,Washington Football Team,4,7,0,.364,241,243,-2,-0.2,-3.2,-3.4,-4.3,0.9
2,New York Giants,4,7,0,.364,214,253,-39,-3.5,-0.9,-4.4,-4.7,0.3
3,Philadelphia Eagles,3,7,1,.318,237,277,-40,-3.6,-0.6,-4.3,-2.9,-1.3
4,Dallas Cowboys,3,8,0,.273,251,359,-108,-9.8,0.0,-9.9,-1.4,-8.4
5, NFC North,,,,,,,,,,,,
6,Green Bay Packers,8,3,0,.727,349,283,66,6.0,0.3,6.3,7.0,-0.7
7,Minnesota Vikings,5,6,0,.455,292,305,-13,-1.2,0.4,-0.8,0.4,-1.2
8,Chicago Bears,5,6,0,.455,216,250,-34,-3.1,2.2,-0.8,-4.5,3.7
9,Detroit Lions,4,7,0,.364,252,328,-76,-6.9,0.7,-6.2,-1.3,-4.9
10, NFC South,,,,,,,,,,,,
11,New Orleans Saints,9,2,0,.818,326,225,101,9.2,0.9,10.0,4.8,5.3
12,Tampa Bay Buccaneers,7,5,0,.583,344,280,64,5.3,2.3,7.6,5.4,2.2
13,Atlanta Falcons,4,7,0,.364,295,281,14,1.3,-0.3,1.0,1.2,-0.1
14,Carolina Panthers,4,8,0,.333,280,300,-20,-1.7,2.4,0.7,-1.0,1.8
15, NFC West,,,,,,,,,,,,
16,Seattle Seahawks,8,3,0,.727,341,304,37,3.4,0.0,3.4,6.4,-3.0
17,Los Angeles Rams,7,4,0,.636,263,215,48,4.4,-0.3,4.1,-0.9,4.9
18,Arizona Cardinals,6,5,0,.545,304,258,46,4.2,-1.9,2.3,1.6,0.7
19,San Francisco 49ers,5,6,0,.455,261,254,7,0.6,0.9,1.6,0.2,1.4
