,Year,Lg,Pos,Player,Tm
0,2019,NFL,WR,Michael Thomas,New Orleans Saints
1,2018,NFL,QB,Patrick Mahomes ,Kansas City Chiefs
2,2017,NFL,RB,Todd Gurley,Los Angeles Rams
3,2016,NFL,QB,Matt Ryan,Atlanta Falcons
4,2015,NFL,QB,Cam Newton,Carolina Panthers
5,2014,NFL,KR,DeMarco Murray,Dallas Cowboys
6,2013,NFL,QB,Peyton Manning ,Denver Broncos
7,2012,NFL,RB,Adrian Peterson,Minnesota Vikings
8,2011,NFL,QB,Drew Brees,New Orleans Saints
9,2010,NFL,QB,Tom Brady ,New England Patriots
10,2009,NFL,RB,Chris Johnson ,Tennessee Titans
11,2008,NFL,QB,Drew Brees,New Orleans Saints
12,2007,NFL,QB,Tom Brady ,New England Patriots
13,2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers
14,2005,NFL,RB,Shaun Alexander ,Seattle Seahawks
15,2004,NFL,QB,Peyton Manning ,Indianapolis Colts
16,2003,NFL,RB,Jamal Lewis,Baltimore Ravens
17,2002,NFL,RB,Priest Holmes,Kansas City Chiefs
18,2001,NFL,RB,Marshall Faulk,St. Louis Rams
19,2000,NFL,RB,Marshall Faulk,St. Louis Rams
20,1999,NFL,RB,Marshall Faulk,St. Louis Rams
21,1998,NFL,RB,Terrell Davis ,Denver Broncos
22,1997,NFL,RB,Barry Sanders ,Detroit Lions
23,1996,NFL,RB,Terrell Davis ,Denver Broncos
24,1995,NFL,QB,Brett Favre ,Green Bay Packers
25,1994,NFL,RB,Barry Sanders ,Detroit Lions
26,1993,NFL,WR,Jerry Rice ,San Francisco 49ers
27,1992,NFL,QB,Steve Young,San Francisco 49ers
28,1991,NFL,RB,Thurman Thomas,Buffalo Bills
29,1990,NFL,QB,Warren Moon,Houston Oilers
30,1989,NFL,QB,Joe Montana,San Francisco 49ers
31,1988,NFL,RB,Roger Craig,San Francisco 49ers
32,1987,NFL,WR,Jerry Rice ,San Francisco 49ers
33,1986,NFL,RB,Eric Dickerson,Los Angeles Rams
34,1985,NFL,RB,Marcus Allen,Los Angeles Raiders
35,1984,NFL,QB,Dan Marino,Miami Dolphins
36,1983,NFL,QB,Joe Theismann,Washington Redskins
37,1982,NFL,QB,Dan Fouts,San Diego Chargers
38,1981,NFL,QB,Ken Anderson ,Cincinnati Bengals
39,1980,NFL,RB,Earl Campbell,Houston Oilers
40,1979,NFL,RB,Earl Campbell,Houston Oilers
41,1978,NFL,RB,Earl Campbell,Houston Oilers
42,1977,NFL,RB,Walter Payton,Chicago Bears
43,1976,NFL,QB,Bert Jones,Baltimore Colts
44,1975,NFL,QB,Fran Tarkenton,Minnesota Vikings
45,1974,NFL,QB,Ken Stabler ,Oakland Raiders
46,1973,NFL,RB,O.J. Simpson,Buffalo Bills
47,1972,NFL,RB,Larry Brown,Washington Redskins
